match_id,game_duration,blue_top_champion,blue_jungle_champion,blue_mid_champion,blue_adc_champion,blue_support_champion,blue_num_tanks,blue_num_fighters,blue_num_mages,blue_num_marksmans,blue_num_controllers,red_top_champion,red_jungle_champion,red_mid_champion,red_adc_champion,red_support_champion,red_num_tanks,red_num_fighters,red_num_mages,red_num_marksmans,red_num_controllers,gold_diff_5,xp_diff_5,cs_diff_5,kills_diff_5,dragon_diff_5,herald_diff_5,tower_diff_5,wards_placed_diff_5,wards_killed_diff_5,gold_diff_10,xp_diff_10,cs_diff_10,kills_diff_10,dragon_diff_10,herald_diff_10,tower_diff_10,wards_placed_diff_10,wards_killed_diff_10,gold_diff_15,xp_diff_15,cs_diff_15,kills_diff_15,dragon_diff_15,herald_diff_15,tower_diff_15,wards_placed_diff_15,wards_killed_diff_15,gold_lead_gt_1500_10,kill_lead_gt_3_10,tower_lead_gt_1_10,double_objective_10,wards_lead_gt_5_10,first_blood_blue,first_tower_blue,first_dragon_blue,first_herald_blue,first_tower_time,first_dragon_time,first_herald_time,first_blood_time,blue_wins,processed_at
LA1_1712266354,22.8,Garen,Warwick,Irelia,Caitlyn,Soraka,0,3,0,1,1,Tryndamere,MasterYi,Mel,Jhin,Karma,0,2,1,1,1,688,167,-3,2,0,0,0,69,0,2683,1729,5,7,1,0,0,163,0,9773,7699,54,17,2,0,3,258,-1,1,1,0,0,1,0,1,1,1,650.338,382.245,936.882,104.702,1,
LA1_1712267878,23.816666666666666,Teemo,Sejuani,Katarina,Caitlyn,Rell,2,0,1,2,0,KSante,LeeSin,Fizz,Ezreal,Ekko,1,3,0,1,0,656,460,20,0,0,0,0,1,0,-1588,-1077,24,-4,1,0,0,12,-1,3338,1371,36,6,0,0,1,22,1,0,0,0,0,1,1,1,1,1,733.303,327.957,963.831,165.341,1,
LA1_1712268779,29.833333333333332,Darius,Graves,Veigar,Lucian,Xerath,0,1,2,2,0,Pantheon,Naafiri,Ahri,Jhin,TahmKench,1,2,1,1,0,-770,-49,-14,-1,0,0,0,-2,0,-1341,-1638,-29,-1,-1,0,0,-17,2,-2657,-1718,-28,-4,-1,0,-1,-29,4,0,0,0,0,0,1,0,0,0,798.92,461.849,1020.366,65.469,0,
LA1_1712269536,27.516666666666666,Kayle,Nocturne,Orianna,Nilah,Nami,0,3,1,0,1,Garen,Diana,Sion,Kaisa,Thresh,1,2,0,1,1,-771,-486,-33,-1,0,0,0,0,0,-932,97,-34,-2,-1,0,0,-6,0,-1450,2382,-28,-3,-2,0,-1,-6,3,0,0,0,0,0,1,0,0,1,782.877,330.955,948.474,154.649,0,
LA1_1712269652,35.083333333333336,Darius,Graves,Fizz,Ashe,Velkoz,0,2,1,2,0,Aatrox,FiddleSticks,Yasuo,Caitlyn,Milio,0,2,1,1,1,227,869,14,0,0,0,0,1,0,-771,-1252,0,-2,-1,0,0,-4,0,-699,-2688,-34,-3,-1,0,0,-5,-1,0,0,0,0,0,1,1,0,0,1010.164,461.817,1014.818,112.156,0,
LA1_1712271049,27.416666666666668,Mordekaiser,Warwick,Anivia,Aphelios,Nami,0,2,1,1,1,Shen,Jax,Veigar,Ashe,Sona,1,1,1,1,1,-1484,-763,-28,-4,0,0,0,19,0,-3985,-2738,-79,-9,-1,0,0,43,0,-5965,-3447,-82,-15,-2,0,0,84,-3,0,0,0,0,1,0,0,0,0,767.718,448.864,1185.156,43.43,0,
LA1_1712272046,28.616666666666667,Volibear,Gwen,Veigar,Jinx,Lulu,0,2,1,1,1,Yone,Zed,Malzahar,Smolder,Nami,0,2,1,1,1,-761,-443,-1,-2,0,0,0,-2,0,-1123,-137,-6,-2,-1,0,0,-4,1,-4329,-4530,-52,-7,-1,0,0,-6,1,0,0,0,0,0,0,0,0,0,848.276,500.959,1091.064,154.557,0,
LA1_1712272785,40.93333333333333,Shen,Briar,Ekko,Jhin,Mel,1,2,1,1,0,Cassiopeia,Nasus,Zed,Kaisa,Blitzcrank,1,2,1,1,0,1884,1116,32,3,0,0,0,20,0,4420,2233,25,9,0,0,0,39,-1,5867,3108,24,12,1,0,0,85,0,1,1,0,0,1,1,1,1,1,864.878,546.559,1114.156,110.897,0,
LA1_1712273195,33.833333333333336,Illaoi,Talon,Irelia,Smolder,Nami,0,3,0,1,1,Volibear,Mordekaiser,Xerath,Lucian,Ekko,0,3,1,1,0,245,13,9,0,0,0,0,12,-4,1264,1219,30,3,1,0,0,28,-5,4998,4558,72,8,1,0,1,55,-12,0,0,0,0,1,0,1,1,0,822.692,473.222,945.874,149.93,1,
LA1_1712282564,32.75,Garen,Viego,Mel,MissFortune,Hwei,0,2,2,1,0,Udyr,Nunu,Xerath,Kaisa,Maokai,2,1,1,1,0,595,190,0,1,0,0,0,3,0,1251,804,16,2,1,0,0,2,0,1227,2291,58,1,1,0,0,6,0,0,0,0,0,0,1,0,1,1,981.877,464.112,1034.104,138.41,0,
